"","baseMean","log2FoldChange","lfcSE","svalue"
"YDL200C",252.043339780108,0.509730431466705,0.0750220716782577,0.0754938201048857
"YDL199C",267.404999123731,1.00169169341257,0.116055543941248,3.86503632437656e-07
"YDL198C",1879.11557981619,1.20421026150478,0.0936987363700246,8.82760697062799e-16
"YDL197C",717.267632385453,0.480145740248587,0.135032676164281,0.10293931038625
"YDL196W",39.6441305390128,0.865218818651761,0.237212593983844,0.00637296904958185
"YDL195W",6542.7594008793,0.237730651139374,0.0449470196273722,0.50141840692582
"YDL194W",311.505304753822,-0.59442977313566,0.101865551462458,0.020986816166514
"YDL193W",737.124289429878,-0.66874155953627,0.0784505013770745,0.00147809368401305
"YDL192W",4105.99880583944,-0.0858703592613503,0.142405839892676,0.389189141566368
"YDL191W",3135.1708318774,0.695885590192502,0.234395294797283,0.0252934542565023
"YDL190C",1275.27936840954,0.12861840364174,0.0659827860824696,0.497627831931785
"YDL189W",1079.09203720992,0.0739196550418432,0.0402994216259942,0.528229569593501
"YDL188C",1008.07899542135,1.09184148293701,0.0508748324579197,8.07517182830041e-34
"YDL187C",1.84852960685124,1.33369635434817,1.00770832477865,0.0260830353769309
"YDL186W",93.9300988445697,-0.427151162695603,0.167662583896393,0.138135899703809
"YDL185C-A",14.0061987151759,2.01087939154425,0.339499673529423,2.37420270260014e-07
"YDL185W",11732.101507428,1.16326609839053,0.0548360381676159,6.11116420139495e-36
"YDL184C",13500.3675263495,-0.275353248862292,0.185657839822608,0.244545279981578
"YDL183C",196.918983606763,0.540625306771508,0.0869485454503568,0.0463640928927811
"YDL182W",6584.9150865382,1.7460620148336,0.52617208163584,0.00071224014128279
"YDL181W",1414.17768557411,1.0566132233125,0.11045976819348,1.03643725403203e-08
"YDL180W",595.5167503755,1.58882891098749,0.138354369422593,5.44858368249896e-17
"YDL179W",718.881049359591,-0.291049670294487,0.195730695256919,0.228053120525434
"YDL178W",2008.20170718867,0.202975953148317,0.0754005907385133,0.445912337458043
"YDL177C",186.237821322608,-0.176439212243779,0.10923781042674,0.393826343492214
"YDL176W",430.674502581958,-0.00478904228313472,0.0867262555374663,0.499328592108311
"YDL175C",306.613585238684,0.866509954173251,0.0692599400306843,3.03427341471105e-09
"YDL174C",4424.99917919462,0.528222060551831,0.0427682910976753,0.0343462650400678
"YDL173W",2536.52939047784,-0.013883154356615,0.0795301712678072,0.50695908186219
"YDL171C",6611.48577858053,2.02281998677073,0.109570172479668,1.88470921720088e-46
"YDL170W",895.095939527435,0.554971657452311,0.105265176033509,0.0434010680273336
"YDL169C",466.09474482503,-0.280148633067061,0.200250520953498,0.231232431002448
"YDL168W",3952.63625870594,-0.634932654070651,0.0497069339916439,0.000255549692398557
"YDL167C",1262.65037520565,-0.307681621243908,0.167411304704533,0.237426275803676
"YDL166C",841.718836330134,-0.489982421314206,0.0896811247452829,0.0986431588080693
"YDL165W",571.587263298424,-0.229419589319342,0.07240065861627,0.437279239636864
"YDL164C",1543.21879081765,0.165145505137928,0.10528859485908,0.408688328756219
"YDL162C",11.0875377083335,1.32952600951343,0.491111477893,0.00458244793168902
"YDL161W",2745.51170787249,-0.0625571599708803,0.0954714825812217,0.466655577628354
"YDL160C-A",147.948108562214,-0.0407697745683059,0.123961773900608,0.435848412440228
"YDL160C",1501.88211676432,0.303688818323675,0.0636566234099769,0.402439869326781
"YDL159W-A",12.7412226117488,0.190002424675111,0.298816987279253,0.222959532517508
"YDL159W",604.941806308762,-0.250527675710068,0.0718246512651318,0.424882031179486
"YDL158C",25.6242844823742,-0.8784959979394,0.268805797011413,0.00846250831591246
"YDL157C",1033.21006435892,-1.24588016835498,0.0836858761878812,0
"YDL156W",517.673961950633,0.0871737586751694,0.0850446150523427,0.47566018842888
"YDL155W",924.057598440682,0.309162543710678,0.0629987054477312,0.39827941167508
"YDL154W",273.734146608663,-0.977522066783291,0.142981410119113,2.29420009199218e-05
"YDL153C",3887.3470617384,-0.510436942544354,0.174432998189947,0.0820459200946288
"YDL152W",2.42921817206494,-0.952962294244146,0.808042945940191,0.0400754833346489
"YDL151C",18.4294100175213,0.400779613077935,0.271563391126251,0.129312750067538
"YDL150W",1118.72107794473,0.487858685011476,0.110006602050729,0.0983585591330332
"YDL149W",521.989748613313,-0.132487656438799,0.14677433231855,0.361734880146472
"YDL148C",4308.92251482447,-0.830398515124514,0.157979156851489,0.0017101391376884
"YDL147W",5184.7631067145,-1.2077629257547,0.0710641779858658,0
"YDL146W",142.515441009189,1.12570373380428,0.12960421110312,3.91193803768202e-08
"YDL145C",5214.80455118888,0.545836563603561,0.0523832303443359,0.0231858480542625
"YDL144C",1576.08593531477,0.298688375242256,0.0678367600351553,0.39429808906246
"YDL143W",5931.71664991178,-0.430521764298147,0.0438331671783768,0.281902489614148
