"","CK45_1","CK45_2","AC45_1","AC45_2","CK120_1","CK120_2","AC120_1","AC120_2","CK200_1","CK200_2","AC200_1","AC200_2"
"YOR192C-C",21.2071226151037,17.9656637585663,19.2805596896395,22.0910103890013,15.0948064092947,9.74450549873607,19.6872790411808,14.7757753321642,14.671067699349,7.0893083209076,25.4153371596276,11.2679720999774
"YOR192C-B",181.22450234725,182.351487149447,509.233605920479,288.345819814333,105.663644865063,73.0837912405205,202.008602335594,244.855705504436,132.95655102535,98.2375581611482,249.07030416435,183.292346159632
"tM(CAU)O1",0.963960118868349,0,2.26830113995759,0,1.07820045780676,1.21806318734201,0.855968653964383,1.05541252372602,0.916941731209312,0,2.03322697277021,1.50239627999698
"YOR193W",166.765100564224,189.537752652874,186.000693476522,187.192245927853,217.796492476966,187.581730850669,218.272006760918,202.639204555395,157.713977768002,195.462357990738,158.591703876076,197.565110819603
"YOR194C",2756.92593996348,2620.29205918689,3820.95327025856,3948.47743584466,2528.38007355686,2423.9457428106,3673.81746281513,3808.98379812719,2390.46709326268,2440.74757905533,3976.99195873853,3667.34931947263
"YOR195W",1819.95670442344,1845.07366800475,2192.31305176901,2563.71988988147,1556.92146107297,1336.21531651418,2624.3998930548,2565.70784517795,1667.91700906974,1755.11018859041,2164.37011251389,2364.77174471525
"YOR196C",1370.75128903079,1306.10375524777,2011.98311114238,1924.24327335775,1671.21070960048,1729.64972602565,2019.23005470198,2010.56085769806,1611.98356346597,1818.91396347858,2048.47617506598,1994.43106169599
"YOR197W",4957.64689133992,5077.09657817082,3258.41458754908,2941.59243600913,5395.31509086504,5193.82143082633,2761.3548776891,3004.75945504797,4789.18666210623,4919.97997470988,3163.70116963044,3054.37163723387
"YOR198C",6574.20801068214,6930.25479486693,9377.15691258468,9722.36994067522,5913.9295110701,6212.12225544425,8819.901010449,8550.95226722819,9090.56032320911,7675.69539487982,8960.4312689983,8497.55335966293
"YOR199W",43.3782053490757,43.117593020559,71.4514859086641,51.1581293218978,48.5190206013043,60.9031593671005,36.8066521204685,44.3273259964927,82.524755808838,58.7399832303773,42.6977664281744,34.5551144399306
"YOR200W",0.963960118868349,1.79656637585663,0,0,1.07820045780676,4.87225274936804,0,0,0.916941731209312,1.01275833155823,1.0166134863851,0
"YOR201C",979.383480770243,1032.12738292963,522.843412760225,606.921443318879,1234.53952418874,1404.42685500534,617.15339950832,616.360913855994,1330.48245198471,1395.58098088724,634.366815504305,649.786391098695
"YOR202W",841.537183772069,898.283187928313,382.208742082854,352.293481466706,724.550707646145,833.155220141934,414.288828518761,453.827385202187,449.301448292563,387.886440986802,418.844756390663,383.862249539229
"YOR203W",8.67564106981514,5.38969912756988,2.26830113995759,0,11.8602050358744,3.65418956202603,2.56790596189315,2.11082504745203,5.50165038725587,2.02551666311646,4.06645394554041,1.50239627999698
"YOR204W",6935.69305525777,6782.03806885876,5398.55671309906,5394.85727394559,7820.18792047245,6925.90728322666,5442.24870190555,5720.33587859501,8726.53445591902,7418.45477866403,5235.55945488329,5433.41614660909
"YOR205C",541.745586804012,520.105965810493,559.136230999546,556.925998754297,724.550707646145,710.130838220391,587.194496619567,583.643125620487,806.908723464194,820.334248562166,571.336779348428,595.700125018804
"YOR206W",1970.33448296691,2001.37494270428,3569.17184372327,3881.04171992034,4229.78039597593,3728.49141645389,3753.42254763382,3653.83815713947,4578.29006392809,5077.97027443296,3797.05137164836,3945.29263127208
"YOR207C",1766.93889788568,1681.5861278018,2414.60656348485,2440.47530560599,2803.32119029758,2382.53159444097,2349.63395513223,2413.7284417614,2837.01771636161,2772.93231180643,2298.56309271672,2344.48939493529
"YOR208W",1495.10214436481,1455.21876444387,3406.9883122163,3271.79490708683,1344.51597088503,1259.47733571164,3686.6569926246,3402.64997649268,1483.61172109667,1325.70065600972,3547.98106748401,3921.25429079212
"YOR209C",1964.5507222537,2038.20455340934,2411.20411177492,2596.27506308632,2940.25264843904,2504.33791317517,2509.70009342357,2276.52481367702,3560.48474228576,3464.6462522607,2350.41038052236,2699.05491701458
"YOR210W",656.456840949346,738.388780477073,1711.433210098,1576.60053092031,856.09116349857,922.073832817901,1390.94906269212,1479.68835826388,1185.60565845364,1234.55240616948,1503.57134636357,1382.20457759722
"YOR211C",863.708266506041,889.30035604903,1534.50572118131,1585.90200897883,767.678725958415,791.741071772306,1503.08095636146,1411.08654422168,958.204109113731,913.508015065523,1535.08636444151,1372.43900177724
"YOR212W",1337.97664498927,1326.76426857012,2124.26401757028,2073.06692229418,1560.15606244639,1523.79704736485,2221.23865703757,2157.26319849598,1813.71074433202,1789.54397186339,2269.08130161155,2294.91031769539
"YOR213C",329.674360652975,353.025292855827,351.586676693426,374.384491855707,352.571549702812,362.982829827919,342.387461585753,347.23072030586,357.607275171631,348.388866056031,360.897787666712,368.087088599261
